Call_Type,Charging_Tm,Call_Duration,Location,A_Num,B_Num,cell_id,IMEI,TAC,DESTINATION,DESTINATION_CAT,MU_Device_type_Segment,MU_HANDSET_MOBILE_TECH
6,2024-12-02 10:47:00,2.0,4315,491,24394,846535.0,14097,158,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:47:00,2.0,17778,699,24394,928971.0,13327,134,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:47:00,2.0,44463,110,24394,889827.0,15097,189,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:47:00,2.0,26404,559,24394,840316.0,8354,5771,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:47:00,2.0,44255,541,24394,781483.0,1796,5563,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:47:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:47:00,2.0,26404,193,24394,840316.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:47:00,2.0,48646,142,24394,737995.0,9921,20,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:47:00,2.0,44255,659,24394,781483.0,150,5485,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:48:00,2.0,26404,193,24394,840316.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:48:00,2.0,44255,541,24394,781483.0,1796,5563,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:48:00,2.0,35757,659,24394,866121.0,150,5485,OTA,ON-NET,Smartphone,4G
7,2024-12-02 10:48:00,2.0,11638,376,24394,738832.0,14769,179,OTA,ON-NET,Modem,3G
6,2024-12-02 10:48:00,2.0,44255,541,24394,781483.0,1796,5563,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:48:00,2.0,44255,541,24394,781483.0,1796,5563,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:48:00,2.0,44255,541,24394,781483.0,1796,5563,OTA,ON-NET,Smartphone,4G
